CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
0010001,1,1802,926,145,0.0552486187845304
0010002,2,2512,1237,89,0.0136546184738956
0010003,3,1195,675,51,0.0237037037037037
0010004,4,1567,853,40,0.0173210161662818
0010005,5,296,191,7,0.0208333333333333
0010006,6,1441,650,129,0.0675675675675676
0010007,7,1403,536,239,0.0907407407407407
0010008,8,354,150,66,0.131944444444444
0010009,9,1319,706,63,0.0210378681626928
0010010,10,547,260,38,0.0538461538461538
0010011,11,1274,645,42,0.0092735703245749
0010013,12,1747,874,179,0.0658342792281498
0010015,13,925,546,53,0.0306859205776173
0010016,14,813,448,37,0.0308370044052863
0010017,15,834,443,59,0.0379464285714286
0010018,16,2043,1118,50,0.0201754385964912
0010019,17,2209,1050,194,0.0700094607379376
0010020,18,1137,561,144,0.06070826306914
0010021,19,1819,987,114,0.0324607329842932
0010022,20,990,634,42,0.0223285486443381
0010023,21,1289,780,36,0.0127226463104326
0010024,22,816,494,22,0.016
0030001,23,2201,845,915,0.301549463647199
0030002,24,2600,1345,696,0.181547619047619
0030003,25,2439,1060,978,0.259887005649718
0030004,26,2332,881,1127,0.352402745995423
0050001,27,560,226,150,0.186363636363636
0050002,28,2551,1010,491,0.154385964912281
0050003,29,1823,869,204,0.0965116279069767
0050004,30,1977,859,244,0.0860849056603774
0050005,31,2001,920,275,0.102449888641425
0050006,32,614,341,56,0.0483383685800604
0050007,33,1206,726,66,0.0381991814461119
0050008,34,691,461,17,0.025
0050009,35,294,195,18,0.0358974358974359
0050010,36,1182,433,180,0.126094570928196
0050010,37,145,51,35,0.126984126984127
0050011,38,2075,1210,65,0.0230179028132992
0050012,39,866,478,51,0.038135593220339
0050013,40,696,339,89,0.102941176470588
0050014,41,1839,1089,177,0.069060773480663
0050015,42,670,356,153,0.156862745098039
0050016,43,2216,917,841,0.305986696230599
0050017,44,1496,880,23,0.0124858115777526
0050018,45,686,338,61,0.0581039755351682
0050019,46,1426,941,71,0.0405982905982906
0050020,47,2930,1089,550,0.149906890130354
0050021,48,735,417,20,0.0632603406326034
0050022,49,1783,972,71,0.0307692307692308
0050023,50,453,298,18,0.0251798561151079
0050024,51,2672,1268,344,0.092443729903537
0050025,52,2294,1190,258,0.0891341256366723
0050026,53,1570,999,74,0.0298804780876494
0050027,54,360,227,14,0.0275229357798165
0050028,55,1115,676,151,0.104387291981846
0050029,56,1523,834,90,0.0459492140266022
0050030,57,1049,563,24,0.017825311942959
0050031,58,458,201,107,0.182741116751269
0050032,59,28,14,0,0.0
0050033,60,1458,838,23,0.0153664302600473
0050034,61,2219,1279,122,0.0427215189873418
0050035,62,1847,1122,107,0.0486295313881521
0050037,63,480,272,56,0.0959409594095941
0050038,64,422,209,62,0.145539906103286
0050039,65,537,276,42,0.0592334494773519
0050040,66,762,405,80,0.0989847715736041
005011,67,1293,567,37,0.0275735294117647
005017,68,480,210,4,0.019047619047619
0070001,69,2216,1182,294,0.112141652613828
0070002,70,3714,1540,1161,0.241533546325879
0070003,71,4305,2554,424,0.0760233918128655
0070004,72,3909,2298,359,0.0673960612691466
007001,73,1884,712,392,0.138222849083216
007004,74,1130,702,98,0.0693069306930693
0090001,75,1387,723,54,0.0236111111111111
0090002,76,728,471,14,0.0105042016806723
0090003,77,384,222,24,0.0315315315315315
0090004,78,660,399,39,0.0075949367088607
0090005,79,177,101,1,0.0099009900990099
0090006,80,1179,623,32,0.0112359550561798
0090007,81,227,132,4,0.0076335877862595
0090008,82,323,214,9,0.0138248847926267
0090009,83,145,93,1,0.0
0090010,84,796,506,25,0.0276679841897233
0090011,85,28,18,8,0.0555555555555556
0090012,86,90,57,0,0.0185185185185185
0090013,87,135,87,0,0.0
0110101,88,361,240,13,0.031390134529148
0110201,89,234,142,13,0.0486111111111111
0110202,90,77,50,1,0.0
0110301,91,317,202,11,0.0247524752475248
0110303,92,65,37,2,0.03125
0110401,93,151,104,5,0.0196078431372549
0110402,94,179,109,8,0.0275229357798165
0110404,95,30,19,0,0.0
0130001,96,828,379,312,0.284960422163588
0130003,97,1432,539,655,0.374768089053803
0130004,98,866,319,487,0.5
